//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量,MA:MA1,MA:MA2,MA:MA3,MA:MA4,MACD:MACD,MACD:MACDAvg,MACD:MACDDiff,MACD:零线
2015/08/26,563.0,573.0,561.5,571.5,71480,87272,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00
2015/08/27,572.0,586.0,569.5,573.0,121688,87974,N/A,N/A,N/A,N/A,0.12,0.02,0.10,0.00
2015/08/30,572.0,577.0,566.0,568.5,96420,81912,N/A,N/A,N/A,N/A,-0.15,-0.01,-0.14,0.00
2015/08/31,566.0,578.0,566.0,573.5,64786,80014,N/A,N/A,N/A,N/A,0.04,0.00,0.04,0.00
2015/09/01,572.5,575.5,564.0,573.5,67588,74900,N/A,N/A,N/A,N/A,0.19,0.04,0.15,0.00
2015/09/06,571.0,581.0,570.0,576.5,48864,72944,N/A,N/A,N/A,N/A,0.55,0.14,0.41,0.00
2015/09/07,576.5,588.0,576.0,583.0,109368,72238,N/A,N/A,N/A,N/A,1.34,0.38,0.96,0.00
2015/09/08,585.5,596.5,583.0,588.0,130902,66920,N/A,N/A,N/A,N/A,2.34,0.77,1.57,0.00
2015/09/09,588.5,589.5,582.0,588.0,68766,68212,N/A,N/A,N/A,N/A,3.10,1.24,1.86,0.00
2015/09/10,588.0,593.5,582.5,583.5,72162,65168,N/A,N/A,N/A,N/A,3.30,1.65,1.65,0.00
2015/09/13,583.0,584.0,569.0,573.5,114130,68924,N/A,N/A,N/A,N/A,2.62,1.84,0.78,0.00
2015/09/14,572.5,576.5,570.5,574.0,44372,64952,N/A,N/A,N/A,N/A,2.10,1.90,0.20,0.00
2015/09/15,574.0,589.5,574.0,587.0,130354,78680,N/A,N/A,N/A,N/A,2.70,2.06,0.65,0.00
2015/09/16,589.0,589.5,583.5,584.0,80684,71634,N/A,N/A,N/A,N/A,2.91,2.23,0.68,0.00
2015/09/17,581.0,592.5,581.0,586.0,97888,75976,N/A,N/A,N/A,N/A,3.19,2.42,0.77,0.00
2015/09/20,584.5,599.5,584.0,597.0,126410,92920,N/A,N/A,N/A,N/A,4.26,2.79,1.47,0.00
2015/09/21,597.0,598.0,589.0,591.5,89454,85186,N/A,N/A,N/A,N/A,4.61,3.15,1.45,0.00
2015/09/22,589.0,589.0,580.0,583.5,109046,78884,N/A,N/A,N/A,N/A,4.19,3.36,0.83,0.00
2015/09/23,584.0,588.0,581.0,582.5,50044,76726,N/A,N/A,N/A,N/A,3.73,3.43,0.30,0.00
2015/09/24,580.0,586.5,580.0,584.5,62190,76470,N/A,N/A,N/A,N/A,3.49,3.45,0.05,0.00
2015/09/27,584.0,584.0,572.5,574.0,52934,84632,N/A,N/A,N/A,N/A,2.43,3.24,-0.81,0.00
2015/09/28,572.0,577.0,570.5,571.0,50562,82094,N/A,N/A,N/A,N/A,1.32,2.86,-1.53,0.00
2015/09/29,571.0,572.5,565.5,571.5,49762,77034,N/A,N/A,N/A,N/A,0.49,2.38,-1.90,0.00
2015/10/07,574.0,575.0,570.0,570.5,31688,76076,N/A,N/A,N/A,N/A,-0.26,1.86,-2.11,0.00
2015/10/08,570.5,586.0,570.0,581.5,99228,71190,N/A,N/A,N/A,N/A,0.04,1.49,-1.45,0.00
2015/10/11,583.0,583.5,566.0,567.0,108026,83950,N/A,N/A,N/A,N/A,-0.88,1.02,-1.90,0.00
2015/10/12,567.0,569.0,563.5,567.0,97820,94140,N/A,N/A,N/A,N/A,-1.59,0.50,-2.09,0.00
2015/10/13,566.5,568.5,560.5,564.5,82082,100964,N/A,N/A,N/A,N/A,-2.33,-0.07,-2.26,0.00
2015/10/14,565.0,567.5,563.0,563.5,49052,97366,N/A,N/A,N/A,N/A,-2.97,-0.65,-2.32,0.00
2015/10/15,563.0,566.0,561.5,565.0,59180,92492,565.40,569.55,576.95,577.27,-3.31,-1.18,-2.13,0.00
2015/10/18,565.0,574.0,564.0,565.5,98750,88490,565.10,568.70,576.55,577.07,-3.50,-1.64,-1.85,0.00
2015/10/19,565.0,572.0,563.5,569.5,64134,90916,565.60,568.55,576.33,576.95,-3.29,-1.97,-1.32,0.00
2015/10/20,570.5,574.0,567.5,568.0,68482,92720,566.30,568.20,575.38,576.93,-3.21,-2.22,-0.99,0.00
2015/10/21,567.5,575.0,562.5,571.5,90366,97536,567.90,568.30,574.75,576.87,-2.83,-2.34,-0.49,0.00
2015/10/22,572.0,574.5,563.5,571.0,92648,86338,569.10,567.25,574.00,576.78,-2.54,-2.38,-0.16,0.00
2015/10/25,571.0,572.0,564.0,564.5,55098,89058,568.90,567.00,572.38,576.38,-2.80,-2.46,-0.34,0.00
2015/10/26,564.0,567.5,562.0,563.5,63396,93472,567.70,566.65,570.98,575.73,-3.05,-2.58,-0.47,0.00
2015/10/27,563.0,563.0,554.0,556.0,164600,133238,565.30,565.80,569.60,574.67,-3.81,-2.83,-0.99,0.00
2015/10/28,555.0,558.0,554.0,555.0,64494,133132,562.00,564.95,568.23,573.57,-4.45,-3.15,-1.30,0.00
2015/10/29,554.5,558.5,554.5,555.5,45590,127102,558.90,564.00,566.77,572.63,-4.85,-3.49,-1.36,0.00
2015/11/01,555.0,556.5,551.5,555.5,65304,140248,557.10,563.00,565.85,572.03,-5.12,-3.82,-1.30,0.00
2015/11/02,555.5,560.0,552.5,557.5,99242,133400,555.90,561.80,565.17,571.48,-5.10,-4.07,-1.03,0.00
2015/11/03,557.0,562.0,555.5,562.0,105084,128820,557.10,561.20,564.70,570.65,-4.68,-4.20,-0.48,0.00
2015/11/04,561.5,564.5,559.5,564.0,91670,125174,558.90,560.45,564.38,569.98,-4.13,-4.18,0.05,0.00
2015/11/05,562.0,567.0,560.0,562.5,102564,117972,560.30,559.60,563.42,569.20,-3.77,-4.10,0.33,0.00
2015/11/08,562.0,563.5,558.5,558.5,67284,123882,560.90,559.00,563.00,567.92,-3.77,-4.03,0.26,0.00
2015/11/09,558.0,563.0,557.5,562.5,53116,118722,561.90,558.90,562.77,566.95,-3.41,-3.91,0.50,0.00
2015/11/10,563.0,563.0,559.5,561.5,36584,119632,561.80,559.45,562.63,566.22,-3.16,-3.76,0.60,0.00
2015/11/11,561.0,563.0,558.5,561.5,65804,118794,561.30,560.10,562.52,565.52,-2.93,-3.59,0.66,0.00
2015/11/12,560.5,571.0,560.5,569.0,74718,114286,562.60,561.45,562.73,565.00,-2.12,-3.30,1.18,0.00
2015/11/15,570.0,570.0,563.0,566.5,69012,112870,564.20,562.55,562.77,564.75,-1.67,-2.97,1.31,0.00
2015/11/16,566.0,571.5,563.0,571.0,69682,124146,565.90,563.90,562.85,564.75,-0.93,-2.56,1.64,0.00
2015/11/17,569.5,570.0,561.0,564.0,85510,124172,566.40,564.10,562.65,564.50,-0.90,-2.23,1.33,0.00
2015/11/18,564.5,564.5,542.5,542.5,166076,131484,562.60,561.95,561.20,563.57,-2.58,-2.30,-0.28,0.00
2015/11/19,541.0,553.0,537.0,545.0,192604,113952,557.80,560.20,559.90,562.35,-3.67,-2.57,-1.09,0.00
2015/11/22,545.0,554.5,545.0,552.0,87688,104748,554.90,559.55,559.27,561.85,-3.92,-2.84,-1.08,0.00
2015/11/23,554.0,572.5,552.0,572.5,113224,90394,555.20,560.55,559.73,562.03,-2.44,-2.76,0.32,0.00
2015/11/24,494.0,509.5,486.5,507.5,262744,116368,543.90,555.15,557.30,560.13,-6.43,-3.50,-2.94,0.00
2015/11/25,506.0,521.5,502.5,515.5,230086,101392,538.50,550.55,555.33,558.53,-8.85,-4.57,-4.29,0.00
2015/11/26,515.0,526.5,509.0,513.5,202198,101430,532.20,545.00,553.23,556.82,-10.81,-5.82,-4.99,0.00
2015/11/29,513.5,519.0,502.5,509.5,155054,112294,523.70,539.30,550.92,554.95,-12.53,-7.16,-5.37,0.00
2015/11/30,509.0,520.0,507.0,516.5,140404,117092,512.50,533.85,548.88,553.18,-13.19,-8.36,-4.82,0.00
2015/12/01,516.0,528.5,513.5,523.5,200580,136304,515.70,529.80,546.95,551.70,-12.99,-9.29,-3.70,0.00
2015/12/02,522.0,523.5,515.5,516.5,101194,138932,515.90,527.20,544.58,549.87,-13.24,-10.08,-3.16,0.00
2015/12/03,517.0,524.0,504.0,516.0,233316,143154,516.40,524.30,542.25,548.03,-13.33,-10.73,-2.60,0.00
2015/12/06,519.0,526.5,515.0,525.5,143072,157806,519.60,521.65,540.60,546.73,-12.49,-11.08,-1.41,0.00
2015/12/07,524.0,524.5,516.0,521.5,156428,170778,520.60,516.55,538.55,545.33,-12.01,-11.27,-0.74,0.00
2015/12/08,520.5,523.0,505.5,508.0,350614,193348,517.50,516.60,535.88,543.73,-12.57,-11.53,-1.04,0.00
2015/12/09,508.0,513.5,506.0,511.5,171274,187806,516.50,516.20,533.38,542.28,-12.59,-11.74,-0.85,0.00
2015/12/10,510.0,514.5,505.5,514.0,159446,174442,516.10,516.25,530.63,540.90,-12.26,-11.85,-0.42,0.00
2015/12/13,513.0,523.5,510.5,520.0,197086,178950,515.00,517.30,528.30,539.72,-11.39,-11.75,0.37,0.00
2015/12/14,518.0,525.5,516.0,517.0,150236,176500,514.10,517.35,525.60,538.37,-10.81,-11.57,0.75,0.00
2015/12/15,516.0,520.5,516.0,519.0,66016,180506,516.30,516.90,523.35,536.93,-10.08,-11.27,1.19,0.00
2015/12/16,520.0,527.0,519.5,521.5,144178,193126,518.30,517.40,522.30,535.52,-9.19,-10.85,1.66,0.00
2015/12/17,521.5,537.0,521.0,536.5,211748,204426,522.80,519.45,521.88,534.65,-7.19,-10.12,2.93,0.00
2015/12/20,536.5,547.5,535.0,546.0,268228,199908,528.00,521.50,521.58,534.23,-4.78,-9.05,4.27,0.00
2015/12/21,545.0,546.5,536.5,545.5,178206,200336,533.70,523.90,520.23,533.67,-2.88,-7.82,4.93,0.00
2015/12/22,545.0,546.5,539.0,543.5,148000,203122,538.60,527.45,522.02,533.07,-1.52,-6.56,5.04,0.00
